560,0.69,kN,14.00
561,0.69,kN,14.02
562,0.69,kN,14.05
563,0.69,kN,14.07
564,0.69,kN,14.10
565,0.69,kN,14.13
566,0.69,kN,14.15
567,0.70,kN,14.18
568,0.70,kN,14.20
569,0.69,kN,14.23
570,0.69,kN,14.25
571,0.69,kN,14.27
572,0.69,kN,14.30
573,0.69,kN,14.32
574,0.69,kN,14.35
575,0.69,kN,14.38
576,0.69,kN,14.40
577,0.69,kN,14.43
578,0.69,kN,14.45
579,0.69,kN,14.48
580,0.69,kN,14.50
581,0.69,kN,14.52
582,0.69,kN,14.55
583,0.69,kN,14.57
584,0.69,kN,14.60
585,0.68,kN,14.63
586,0.68,kN,14.65
587,0.68,kN,14.68
588,0.68,kN,14.70
589,0.68,kN,14.73
590,0.68,kN,14.75
591,0.68,kN,14.77
592,0.68,kN,14.80
593,0.68,kN,14.82
594,0.68,kN,14.85
595,0.69,kN,14.88
596,0.69,kN,14.90
597,0.69,kN,14.93
598,0.69,kN,14.95
599,0.70,kN,14.98
600,0.70,kN,15.00
601,0.70,kN,15.02
602,0.71,kN,15.05
603,0.71,kN,15.07
604,0.72,kN,15.10
605,0.72,kN,15.13
606,0.72,kN,15.15
607,0.72,kN,15.18
608,0.73,kN,15.20
609,0.73,kN,15.23
610,0.73,kN,15.25
611,0.73,kN,15.27
612,0.74,kN,15.30
613,0.74,kN,15.32
614,0.73,kN,15.35
615,0.73,kN,15.38
616,0.74,kN,15.40
617,0.74,kN,15.43
618,0.74,kN,15.45
619,0.73,kN,15.48
620,0.73,kN,15.50
621,0.73,kN,15.52
622,0.73,kN,15.55
623,0.73,kN,15.57
624,0.73,kN,15.60
625,0.73,kN,15.63
626,0.72,kN,15.65
627,0.72,kN,15.68
628,0.72,kN,15.70
629,0.72,kN,15.73
630,0.72,kN,15.75
631,0.72,kN,15.77
632,0.72,kN,15.80
633,0.72,kN,15.82
634,0.72,kN,15.85
635,0.72,kN,15.88
636,0.72,kN,15.90
637,0.72,kN,15.93
638,0.72,kN,15.95
639,0.72,kN,15.98
640,0.72,kN,16.00
641,0.72,kN,16.02
642,0.72,kN,16.05
643,0.72,kN,16.08
644,0.73,kN,16.10
645,0.73,kN,16.13
646,0.73,kN,16.15
647,0.73,kN,16.17
648,0.73,kN,16.20
649,0.73,kN,16.23
650,0.73,kN,16.25
651,0.73,kN,16.27
652,0.73,kN,16.30
653,0.73,kN,16.33
654,0.73,kN,16.35
655,0.73,kN,16.38
656,0.72,kN,16.40
657,0.72,kN,16.42
658,0.72,kN,16.45
659,0.71,kN,16.48
660,0.71,kN,16.50
661,0.71,kN,16.52
662,0.69,kN,16.55
663,0.69,kN,16.58
664,0.69,kN,16.60
665,0.68,kN,16.63
666,0.67,kN,16.65
667,0.67,kN,16.67
668,0.66,kN,16.70
669,0.66,kN,16.73
670,0.64,kN,16.75
671,0.64,kN,16.77
672,0.64,kN,16.80
673,0.63,kN,16.83
674,0.62,kN,16.85
675,0.62,kN,16.88
676,0.61,kN,16.90
677,0.61,kN,16.92
678,0.60,kN,16.95
679,0.59,kN,16.98
680,0.59,kN,17.00
681,0.58,kN,17.02
682,0.58,kN,17.05
683,0.57,kN,17.08
684,0.57,kN,17.10
685,0.57,kN,17.13
686,0.56,kN,17.15
687,0.56,kN,17.17
688,0.55,kN,17.20
689,0.55,kN,17.23
690,0.54,kN,17.25
691,0.54,kN,17.27
692,0.53,kN,17.30
693,0.53,kN,17.33
694,0.52,kN,17.35
695,0.52,kN,17.38
696,0.51,kN,17.40
697,0.51,kN,17.42
698,0.51,kN,17.45
699,0.51,kN,17.48
700,0.50,kN,17.50
701,0.50,kN,17.52
702,0.50,kN,17.55
703,0.50,kN,17.58
704,0.50,kN,17.60
705,0.50,kN,17.63
706,0.50,kN,17.65
707,0.50,kN,17.67
708,0.50,kN,17.70
709,0.50,kN,17.73
710,0.50,kN,17.75
711,0.50,kN,17.77
712,0.50,kN,17.80
713,0.50,kN,17.83
714,0.51,kN,17.85
715,0.51,kN,17.88
716,0.51,kN,17.90
717,0.52,kN,17.92
718,0.52,kN,17.95
719,0.52,kN,17.98
720,0.53,kN,18.00
721,0.53,kN,18.02
722,0.53,kN,18.05
723,0.53,kN,18.08
724,0.54,kN,18.10
725,0.54,kN,18.13
726,0.55,kN,18.15
727,0.55,kN,18.17
728,0.55,kN,18.20
729,0.56,kN,18.23
730,0.56,kN,18.25
731,0.57,kN,18.27
732,0.57,kN,18.30
733,0.58,kN,18.33
734,0.58,kN,18.35
735,0.58,kN,18.38
736,0.59,kN,18.40
737,0.59,kN,18.42
738,0.60,kN,18.45
739,0.61,kN,18.48
740,0.61,kN,18.50
741,0.61,kN,18.52
742,0.61,kN,18.55
743,0.62,kN,18.58
744,0.63,kN,18.60
745,0.63,kN,18.63
746,0.63,kN,18.65
747,0.64,kN,18.67
748,0.64,kN,18.70
749,0.65,kN,18.73
750,0.66,kN,18.75
751,0.67,kN,18.77
752,0.67,kN,18.80
753,0.67,kN,18.83
754,0.68,kN,18.85
755,0.68,kN,18.88
756,0.69,kN,18.90
757,0.70,kN,18.92
758,0.70,kN,18.95
759,0.71,kN,18.98
760,0.72,kN,19.00
761,0.73,kN,19.02
762,0.73,kN,19.05
763,0.74,kN,19.08
764,0.75,kN,19.10
765,0.76,kN,19.13
766,0.77,kN,19.15
767,0.78,kN,19.17
768,0.78,kN,19.20
769,0.79,kN,19.23
770,0.80,kN,19.25
771,0.81,kN,19.27
772,0.81,kN,19.30
773,0.81,kN,19.33
774,0.83,kN,19.35
775,0.83,kN,19.38
776,0.84,kN,19.40
777,0.84,kN,19.42
778,0.85,kN,19.45
779,0.86,kN,19.48
780,0.87,kN,19.50
781,0.89,kN,19.52
782,0.89,kN,19.55
783,0.89,kN,19.58
784,0.90,kN,19.60
785,0.92,kN,19.63
786,0.92,kN,19.65
787,0.92,kN,19.67
788,0.93,kN,19.70
789,0.94,kN,19.73
790,0.96,kN,19.75
791,0.96,kN,19.77
792,0.96,kN,19.80
793,0.98,kN,19.83
794,0.98,kN,19.85
795,0.99,kN,19.88
796,0.99,kN,19.90
797,1.00,kN,19.92
798,1.00,kN,19.95
799,1.01,kN,19.98
800,1.01,kN,20.00
801,1.01,kN,20.02
802,1.01,kN,20.05
803,1.01,kN,20.08
804,1.01,kN,20.10
805,1.02,kN,20.13
806,1.02,kN,20.15
807,1.02,kN,20.17
808,1.02,kN,20.20
809,1.02,kN,20.23
810,1.01,kN,20.25
811,1.01,kN,20.27
812,1.01,kN,20.30
813,1.01,kN,20.33
814,1.01,kN,20.35
815,1.01,kN,20.38
816,1.00,kN,20.40
817,1.00,kN,20.42
818,1.00,kN,20.45
819,0.98,kN,20.48
820,0.98,kN,20.50
821,0.97,kN,20.52
822,0.96,kN,20.55
823,0.95,kN,20.58
824,0.95,kN,20.60
825,0.94,kN,20.63
826,0.93,kN,20.65
827,0.92,kN,20.67
828,0.92,kN,20.70
829,0.90,kN,20.73
830,0.89,kN,20.75
831,0.88,kN,20.77
832,0.86,kN,20.80
833,0.86,kN,20.83
834,0.85,kN,20.85
835,0.83,kN,20.88
836,0.82,kN,20.90
837,0.82,kN,20.92
838,0.80,kN,20.95
839,0.79,kN,20.98
840,0.78,kN,21.00
841,0.76,kN,21.02
842,0.75,kN,21.05
843,0.75,kN,21.08
844,0.74,kN,21.10
845,0.73,kN,21.13
